CMCSA,CMCSK
21.72,21.57
21.82,21.68
21.83,21.71
21.86,21.74
22,21.87
22.28,22.22
21.82,21.67
21.49,21.39
21.28,21.16
21.47,21.37
21.71,21.6
20.8,20.68
21.09,20.98
21.28,21.13
21.66,21.46
21.18,21.14
21.16,21
21.55,21.41
20.85,20.79
20.61,20.48
21.32,21.2
20.71,20.62
21.12,20.97
21.53,21.42
21.71,21.53
20.86,20.76
20.54,20.4
19.47,19.4
20.44,20.36
20.71,20.61
19.88,19.89
19.26,19.17
19.18,19.1
19.9,19.79
20.7,20.56
18.01,18.2
19.63,19.72
19.35,19.34
18.35,18.24
18.42,18.26
18.14,18
17.15,17.02
16.99,16.85
16.31,16.21
15.36,15.21
16.97,16.41
16.64,16.43
14.23,13.98
15.36,15
15.23,14.94
15.97,15.71
15.36,15.04
14.2,13.83
14.22,13.76
13.07,12.85
13.62,13.47
16.96,15.77
15.28,15.03
15.1,14.75
15.76,15.42
17.09,16.73
17.77,17.34
16.9,16.48
16.7,16.39
17.41,16.97
16.54,16.12
15.74,15.3
14.97,14.49
16.26,15.75
15.53,15.15
15.19,14.68
15.42,14.62
13.77,13.25
13.3,12.69
14.07,13.21
15.28,14.54
15.7,15.16
16.65,16.1
17.34,16.77
15.45,14.87
16,15.4
16.06,15.31
15.78,15.07
16.16,15.62
16.55,15.86
16.41,15.77
16.45,15.72
15.97,15.27
15.65,14.89
15.6,14.91
16.45,15.71
16.34,15.65
15.81,15.07
15.76,15.04
15.69,15.09
15.53,14.99
15.39,14.68
15.6,14.91
15.53,14.7
16.46,15.79
16.88,16.15
17.99,17.29
17.03,16.52
17.23,16.76
16.64,16.04
16.91,16.24
16.33,15.62
15.7,14.87
15.33,14.64
14.81,14.15
15.01,14.4
15.33,14.79
14.02,13.43
15.07,14.46
14.79,14.24
14.99,14.31
15.05,14.41
14.92,14.31
15.96,15.14
15.33,14.63
14.65,13.88
14.7,13.95
14.68,13.84
14.16,13.19
13.83,12.73
14.17,13.11
14.41,13.43
13.54,12.66
13.57,12.69
13.78,12.96
13.66,12.82
12.89,12.09
12.36,11.58
12.99,12.28
12.84,12.22
12.69,11.91
13.88,13.01
14.05,13.22
13.34,12.49
13.06,12.15
12.59,11.79
12.5,11.78
12.74,11.85
12,11.2
11.63,10.89
11.22,10.43
12.21,11.5
12.37,11.71
12.92,12.22
13.03,12.25
12.57,11.79
13.27,12.47
13.57,12.66
13.05,12.37
12.72,11.91
14.08,13.17
13.99,13.26
13.94,13.07
14.55,13.58
14.54,13.61
13.65,12.75
13.64,12.87
13.92,13.1
14.57,13.9
14.5,13.8
14.36,13.63
14.04,13.17
14.26,13.43
14.62,13.81
14.35,13.48
13.86,12.93
14.38,13.44
14.76,13.86
14.48,13.55
13.93,13.12
14.27,13.44
14.05,13.18
13.61,12.84
13.89,12.99
13.76,12.81
14.19,13.21
15.24,14.33
15.46,14.68
16.36,15.48
16.65,15.7
16.25,15.2
16,14.99
15.69,14.77
15.75,14.88
15.41,14.5
15.2,14.22
14.96,14.09
14.86,13.9
14.42,13.5
15.16,14.18
15,14
14.87,13.81
14.45,13.52
14.22,13.33
14.68,13.75
14.3,13.34
14.19,13.35
13.77,13
13.92,13.13
14.46,13.79
14.19,13.41
14.47,13.66
14.11,13.32
14.35,13.68
14.4,13.74
14.29,13.56
14.51,13.88
14.35,13.73
13.82,13.19
13.53,13
13.86,13.29
13.87,13.25
13.87,13.14
13.62,12.86
13.79,13.25
13.83,13.43
14.36,13.91
14.22,13.91
14.36,13.92
14.46,14.1
14.47,13.98
13.89,13.56
13.9,13.62
13.3,13.06
13.5,13.24
13.39,13.03
13.26,12.85
13.52,13.02
13.56,13.12
14.1,13.61
14.16,13.68
14.15,13.6
14.5,13.83
14.31,13.72
14.15,13.6
14.49,13.66
14.5,13.63
14.89,14
14.89,14.02
14.59,13.7
15.02,14.08
14.86,13.99
15.13,14.2
15.4,14.69
15.06,14.27
15.05,14.37
14.96,14.47
15,14.34
14.76,13.94
14.85,13.96
14.95,14.1
14.81,14.01
14.56,13.73
14.34,13.57
14.61,13.98
14.55,14
15.07,14.41
15.1,14.37
15.21,14.47
15.14,14.48
15.55,14.79
15.71,14.86
15.32,14.59
15.15,14.53
15.42,14.88
15.48,15.01
16.33,15.9
16.47,16.02
16.85,16.42
17.15,16.57
17.21,16.52
17.44,16.67
17.42,16.64
17.55,16.81
17.05,16.23
17.29,16.4
17.26,16.49
17.21,16.57
16.84,16.15
16.72,15.99
16.69,15.95
17.04,16.17
17.38,16.53
16.88,16.08
15.67,14.93
15.24,14.4
15.34,14.48
15.46,14.63
15.53,14.74
15.65,14.95
15.55,14.75
15.28,14.47
15.36,14.58
15.36,14.65
15.27,14.67
15.26,14.61
15.44,14.77
15.36,14.71
15.11,14.53
15.52,14.97
15.06,14.47
14.84,14.26
14.71,14.07
14.65,14.11
15.01,14.52
14.5,14.02
14.51,14.04
14.51,13.97
14.06,13.6
14.2,13.73
14.59,14.01
15.15,14.59
14.85,14.44
15.1,14.57
15.33,14.72
15.43,14.88
15.85,15.11
15.51,14.8
15.13,14.48
15.04,14.37
15.01,14.27
15.09,14.23
15.12,14.28
15.07,14.25
14.88,14.16
14.66,13.81
14.96,14.12
14.94,14.18
15.91,15.24
16.13,15.3
17.27,16.52
17.36,16.54
17.54,16.72
17.58,16.68
17.64,16.85
17.57,16.65
17.57,16.68
17.51,16.63
17.11,16.24
17.24,16.49
17.37,16.6
17.2,16.35
17.11,16.27
17.17,16.31
17.07,16.2
17.08,16.28
17.07,16.2
16.86,16.01
16.97,16.06
16.74,15.94
16.62,15.85
16.97,16.21
16.92,16.15
16.81,16.08
16.51,15.8
16.77,16.06
16.67,15.93
16.63,15.86
16.81,16
16.52,15.8
16,15.3
15.85,15.21
16.01,15.4
15.7,15.07
15.85,15.25
15.62,14.99
15.83,15.14
15.94,15.32
16.29,15.55
15.97,15.25
15.52,14.86
15.42,14.66
15.21,14.56
15.39,14.62
15.31,14.48
15.33,14.49
15.34,14.52
15.67,14.83
15.66,14.86
15.73,14.88
16,15.13
16.19,15.3
16.14,15.26
16.42,15.51
16.14,15.25
16.44,15.49
16.83,15.84
16.8,15.9
16.96,16.06
17.17,16.39
17.43,16.68
17.56,16.81
17.51,16.78
17.53,16.75
17.57,16.77
17.42,16.65
17.53,16.67
17.49,16.68
17.58,16.81
17.67,16.83
17.53,16.62
17.78,16.91
18.09,17.28
18.18,17.41
18.44,17.64
18.34,17.54
18.5,17.62
18.74,17.88
18.83,17.97
18.86,17.99
18.82,17.94
18.76,17.94
18.29,17.53
18.43,17.68
18.5,17.69
18.63,17.81
18.67,17.75
18.93,18.06
18.86,17.99
18.32,17.49
18.58,17.66
18.54,17.73
18.53,17.66
18.8,17.9
18.96,18.05
19.08,18.19
18.46,17.53
18.81,17.83
